Level,DepthID,VIEW_TIME,SubjID
1,1.0,11.0747471,ce848a2d7c1c5801ab151f4f6ad18bf5
1,3.0,14.29801,ce848a2d7c1c5801ab151f4f6ad18bf5
1,1.0,21.9346352,ce848a2d7c1c5801ab151f4f6ad18bf5
1,2.0,12.6450567,ce848a2d7c1c5801ab151f4f6ad18bf5
1,2.0,6.281194999999999,ce848a2d7c1c5801ab151f4f6ad18bf5
1,1.0,13.33929,ce848a2d7c1c5801ab151f4f6ad18bf5
1,2.0,10.6945753,ce848a2d7c1c5801ab151f4f6ad18bf5
1,3.0,9.96727848,ce848a2d7c1c5801ab151f4f6ad18bf5
1,2.0,4.24805546,ce848a2d7c1c5801ab151f4f6ad18bf5
1,3.0,4.72744465,ce848a2d7c1c5801ab151f4f6ad18bf5
1,1.0,9.636693,ce848a2d7c1c5801ab151f4f6ad18bf5
1,3.0,20.2320747,ce848a2d7c1c5801ab151f4f6ad18bf5
1,3.0,17.537779999999998,ce848a2d7c1c5801ab151f4f6ad18bf5
1,3.0,4.909255,ce848a2d7c1c5801ab151f4f6ad18bf5
1,1.0,5.884489,ce848a2d7c1c5801ab151f4f6ad18bf5
1,2.0,4.462968,ce848a2d7c1c5801ab151f4f6ad18bf5
1,2.0,2.49587417,ce848a2d7c1c5801ab151f4f6ad18bf5
1,2.0,8.413511,ce848a2d7c1c5801ab151f4f6ad18bf5
1,3.0,6.64486027,ce848a2d7c1c5801ab151f4f6ad18bf5
1,3.0,8.611862,ce848a2d7c1c5801ab151f4f6ad18bf5
1,1.0,6.132445,ce848a2d7c1c5801ab151f4f6ad18bf5
1,1.0,3.752191,ce848a2d7c1c5801ab151f4f6ad18bf5
1,1.0,5.37207556,ce848a2d7c1c5801ab151f4f6ad18bf5
1,2.0,6.92585135,ce848a2d7c1c5801ab151f4f6ad18bf5
1,3.0,4.11584044,ce848a2d7c1c5801ab151f4f6ad18bf5
1,2.0,7.58704042,ce848a2d7c1c5801ab151f4f6ad18bf5
1,1.0,4.81008,ce848a2d7c1c5801ab151f4f6ad18bf5
2,1.0,8.06988,ce848a2d7c1c5801ab151f4f6ad18bf5
2,3.0,10.5127487,ce848a2d7c1c5801ab151f4f6ad18bf5
2,1.0,4.347247,ce848a2d7c1c5801ab151f4f6ad18bf5
2,1.0,4.2976737,ce848a2d7c1c5801ab151f4f6ad18bf5
2,3.0,5.636558,ce848a2d7c1c5801ab151f4f6ad18bf5
2,1.0,12.1987629,ce848a2d7c1c5801ab151f4f6ad18bf5
2,2.0,7.60356474,ce848a2d7c1c5801ab151f4f6ad18bf5
2,3.0,9.735865,ce848a2d7c1c5801ab151f4f6ad18bf5
2,2.0,5.421675,ce848a2d7c1c5801ab151f4f6ad18bf5
2,2.0,6.082861,ce848a2d7c1c5801ab151f4f6ad18bf5
2,1.0,6.595261,ce848a2d7c1c5801ab151f4f6ad18bf5
2,1.0,5.272895,ce848a2d7c1c5801ab151f4f6ad18bf5
2,2.0,7.25643969,ce848a2d7c1c5801ab151f4f6ad18bf5
2,2.0,13.0583038,ce848a2d7c1c5801ab151f4f6ad18bf5
2,1.0,5.30572128,ce848a2d7c1c5801ab151f4f6ad18bf5
2,1.0,20.26536560000001,ce848a2d7c1c5801ab151f4f6ad18bf5
2,3.0,7.223577499999998,ce848a2d7c1c5801ab151f4f6ad18bf5
2,1.0,5.76864529,ce848a2d7c1c5801ab151f4f6ad18bf5
